Class,Registry,Tchr,Type,Name,Group,To do,Due
Bayesian,DS6014,Brown,HW,3.07 Assignment: Naive Bayes for Text Classification,,,9/16/2020
Bayesian,DS6014,Brown,HW,3.09 Assignment: Confidence Intervals in Bayesian Regression,,,9/16/2020
Ethics,DS6002,Wylie,Reflection,Reading Qs 3,,,9/16/2020
PADS,DS6001,Kropko,Quiz,Reading Quiz 3,,,9/16/2020
Bayesian,DS6014,Brown,HW,2.13 Assignment: Homework 1,,,9/17/2020
Mining,SYS6018,Porter,HW,HW3,,,9/17/2020
Bayesian,DS6014,Brown,Disc.,3.10 Discussion: Bayesian Classifiers and Regression,,,9/18/2020
Bayesian,DS6014,Brown,HW,3.12 Assignment: Homework 1 Continued,,,9/18/2020
PADS,DS6001,Kropko,HW,Lab assignment 3,,,9/18/2020
Bayesian,DS6014,Brown,Disc.,4.09 Discussion: Graph Theory and Bayesian Machine Learning,,,9/21/2020
Bayesian,DS6014,Brown,HW,4.10 Assignment: Homework 1 Due,,,9/21/2020
Bayesian,DS6014,Brown,HW,4.12 Assignment: Homework 2,,,9/21/2020
FoundCS,CS5012,Shakeri,Project,2.04.01  Assignments: Group Algorithm Presentation,,,9/22/2020
Bayesian,DS6014,Brown,HW,4.03 Assignment: Graphical Models for Joint Distributions,,,9/23/2020
Bayesian,DS6014,Brown,HW,4.05 Assignment: Graphical Model for a Logistic Regression Problem,,,9/23/2020
Ethics,DS6002,Wylie,Reflection,Reading Qs 4,,,9/23/2020
PADS,DS6001,Kropko,Quiz,Reading Quiz 4,,,9/23/2020
Mining,SYS6018,Porter,HW,HW4,,,9/24/2020
Bayesian,DS6014,Brown,HW,4.07 Assignment: Latent Dirichlet Allocation (LDA),,,9/25/2020
Bayesian,DS6014,Brown,HW,4.08 Assignment: Project Proposals Due,,,9/25/2020
PADS,DS6001,Kropko,HW,Lab assignment 4,,,9/25/2020
Bayesian,DS6014,Brown,HW,5.04 Assignment: Markov Chain Convergence,,,9/28/2020
Bayesian,DS6014,Brown,HW,5.07 Assignment: Sampling Properties,,,9/28/2020
Bayesian,DS6014,Brown,HW,5.09 Assignment: MCMC,,,9/28/2020
Bayesian,DS6014,Brown,HW,5.10 Assignment: Homework 2 Continued,,,9/28/2020
